trip_id,pickup_datetime,dropoff_datetime,pickup_location_id,dropoff_location_id,passenger_count,trip_distance,fare_amount,total_amount,anomaly_flag
1,2024-06-01 00:00:00,2024-06-01 01:00:00,103,96,4,16.98852891900102,82.94055015827047,59.93721245122618,False
2,2024-06-01 01:00:00,2024-06-01 02:00:00,107,222,6,2.818764495696373,66.89105332648987,14.532501994735735,False
3,2024-06-01 02:00:00,2024-06-01 03:00:00,72,231,1,14.20732883851136,24.63501418829081,65.76256394917905,False
4,2024-06-01 03:00:00,2024-06-01 04:00:00,189,237,4,11.101117540467364,31.026307095507708,55.17862063475394,False
5,2024-06-01 04:00:00,2024-06-01 05:00:00,21,143,3,6.000551858591189,25.38596637229554,97.24256363807442,False
7,2024-06-01 06:00:00,2024-06-01 07:00:00,122,29,4,5.1985181775297145,8.701497569472195,68.94057944389722,False
8,2024-06-01 07:00:00,2024-06-01 08:00:00,215,36,6,12.269122846227042,63.73411901209983,42.10893465192212,False
9,2024-06-01 08:00:00,2024-06-01 09:00:00,88,13,4,1.723724189964783,36.97265041442902,9.991090079289869,False
10,2024-06-01 09:00:00,2024-06-01 10:00:00,100,160,6,0.2031787692023368,67.2936503611705,111.33398297571354,False
12,2024-06-01 11:00:00,2024-06-01 12:00:00,131,243,6,3.96605167488964,69.75329855241503,34.09386931876273,False
13,2024-06-01 12:00:00,2024-06-01 13:00:00,150,86,1,1.5117242482985604,37.3593340991028,84.97227915726447,False
14,2024-06-01 13:00:00,2024-06-01 14:00:00,258,66,3,7.995998161556378,29.7659801824108,13.674972915323464,False
15,2024-06-01 14:00:00,2024-06-01 15:00:00,192,170,1,1.110293767683999,52.12355815787359,24.114774669564085,False
17,2024-06-01 16:00:00,2024-06-01 17:00:00,22,62,2,0.6495737602867235,38.09197742305375,38.866803886534434,False
18,2024-06-01 17:00:00,2024-06-01 18:00:00,253,134,6,11.619411420600418,93.98157442629218,119.52060812837765,False
19,2024-06-01 18:00:00,2024-06-01 19:00:00,236,28,2,8.82563504805993,8.722701034186393,85.1463814243387,False
20,2024-06-01 19:00:00,2024-06-01 20:00:00,49,108,2,13.473320092374466,44.70487301297998,49.18321060861029,False
22,2024-06-01 21:00:00,2024-06-01 22:00:00,170,128,3,3.185328172882109,57.05732890856829,110.25424929194725,False
23,2024-06-01 22:00:00,2024-06-01 23:00:00,188,231,5,19.63863367737957,45.22973951927126,115.25077685190232,False
24,2024-06-01 23:00:00,2024-06-02 00:00:00,190,190,1,16.79477669118033,59.00942695624604,11.65434824213635,False
25,2024-06-02 00:00:00,2024-06-02 01:00:00,175,225,4,17.22205190440234,59.71283464951804,50.37000683993493,False
26,2024-06-02 01:00:00,2024-06-02 02:00:00,51,121,1,5.0800020742656935,74.50653675346582,17.276947582626704,False
27,2024-06-02 02:00:00,2024-06-02 03:00:00,55,116,4,0.8728112151455216,17.13052429513423,43.60090745165077,False
28,2024-06-02 03:00:00,2024-06-02 04:00:00,244,233,1,6.134983741997133,28.751562675529943,24.513188947990034,False
29,2024-06-02 04:00:00,2024-06-02 05:00:00,131,259,6,10.787940301213442,60.15168117267144,79.38756159190324,False
30,2024-06-02 05:00:00,2024-06-02 06:00:00,135,198,5,6.600359711741213,87.3760776849236,49.6508641588353,False
31,2024-06-02 06:00:00,2024-06-02 07:00:00,21,137,4,16.574593175373014,58.37733575365849,31.380395756069213,False
32,2024-06-02 07:00:00,2024-06-02 08:00:00,167,165,3,5.503704024812863,27.66670168008232,35.582861370887485,False
33,2024-06-02 08:00:00,2024-06-02 09:00:00,89,225,1,19.30851142477632,69.58525409052335,46.43968594860585,False
34,2024-06-02 09:00:00,2024-06-02 10:00:00,14,234,1,9.199576716113198,75.29133224250057,34.89423422824021,False
35,2024-06-02 10:00:00,2024-06-02 11:00:00,242,172,4,16.85625919273843,27.63243447837805,57.12269738531557,False
36,2024-06-02 11:00:00,2024-06-02 12:00:00,53,152,3,3.968162676497973,40.88424418674801,8.716334377609805,False
37,2024-06-02 12:00:00,2024-06-02 13:00:00,92,160,3,8.285942710627902,55.76110998540352,37.17280332442876,False
38,2024-06-02 13:00:00,2024-06-02 14:00:00,35,96,6,14.020292994267155,52.17331311489238,52.28877290030142,False
39,2024-06-02 14:00:00,2024-06-02 15:00:00,206,233,6,2.853226539114247,42.01371819082433,74.31991643267934,False
40,2024-06-02 15:00:00,2024-06-02 16:00:00,81,180,6,2.7416339026350998,33.275341578384534,36.160128889239935,False
41,2024-06-02 16:00:00,2024-06-02 17:00:00,50,113,6,19.393783655571763,14.49856428037702,20.31628940073121,False
42,2024-06-02 17:00:00,2024-06-02 18:00:00,2,52,6,14.320442573181046,10.081103191000048,13.763043653903765,False
43,2024-06-02 18:00:00,2024-06-02 19:00:00,54,113,6,0.917243583680728,96.06144220390384,113.1611601205691,False
44,2024-06-02 19:00:00,2024-06-02 20:00:00,106,101,5,8.036535938751411,85.47859868908102,52.91349163992511,False
45,2024-06-02 20:00:00,2024-06-02 21:00:00,260,113,3,8.727062677856766,38.71599309395846,71.83370143579502,False
46,2024-06-02 21:00:00,2024-06-02 22:00:00,191,81,6,14.906448595682397,95.89608408701336,110.70530346108936,False
47,2024-06-02 22:00:00,2024-06-02 23:00:00,218,187,3,5.092124494198557,69.29314092030882,14.516068304060203,False
48,2024-06-02 23:00:00,2024-06-03 00:00:00,44,113,3,3.768240119194264,50.83949021605103,105.81607088146616,False
49,2024-06-03 00:00:00,2024-06-03 01:00:00,162,2,2,1.7093720356822335,51.83743748832147,68.43260534256805,False
50,2024-06-03 01:00:00,2024-06-03 02:00:00,202,130,5,8.623458051308143,12.912019063549666,23.95594003075511,False
51,2024-06-03 02:00:00,2024-06-03 03:00:00,215,220,6,13.80114802523079,13.711893989555705,52.29433840731744,False
52,2024-06-03 03:00:00,2024-06-03 04:00:00,252,54,1,1.2580525506180278,62.2318879606063,94.42426262955094,False
53,2024-06-03 04:00:00,2024-06-03 05:00:00,190,224,4,18.31275317976696,57.60178997285107,60.24255941463078,False
54,2024-06-03 05:00:00,2024-06-03 06:00:00,213,225,1,8.902809371648978,25.20915002730175,118.307895826533,False
55,2024-06-03 06:00:00,2024-06-03 07:00:00,208,126,5,4.871768447232324,94.88848157376056,48.32498154286319,False
56,2024-06-03 07:00:00,2024-06-03 08:00:00,237,130,4,1.9680784726177056,79.22312479476425,91.2015044972483,False
57,2024-06-03 08:00:00,2024-06-03 09:00:00,53,53,5,3.739033342435416,15.77913719165756,50.1937866325688,False
58,2024-06-03 09:00:00,2024-06-03 10:00:00,217,172,3,18.698818547060224,93.4382650402928,100.35388538124916,False
59,2024-06-03 10:00:00,2024-06-03 11:00:00,252,218,4,12.801584817482672,97.55357981076897,70.44436895406098,False
60,2024-06-03 11:00:00,2024-06-03 12:00:00,188,160,3,10.382255522788675,99.61346799288128,12.303860402850155,False
61,2024-06-03 12:00:00,2024-06-03 13:00:00,41,198,1,13.176515437153318,10.307759694348254,9.234514778139008,False
62,2024-06-03 13:00:00,2024-06-03 14:00:00,157,247,1,8.769890683690031,75.01837789514585,20.39299366207282,False
63,2024-06-03 14:00:00,2024-06-03 15:00:00,15,203,4,14.627782399580187,56.861998165673945,6.572275955104688,False
64,2024-06-03 15:00:00,2024-06-03 16:00:00,65,184,4,1.0495509410638109,72.05399096847599,13.666291940533169,False
65,2024-06-03 16:00:00,2024-06-03 17:00:00,9,123,6,11.364140488832115,97.02193467754282,84.54715567442489,False
66,2024-06-03 17:00:00,2024-06-03 18:00:00,129,255,5,3.2570643080855715,70.36285096662871,66.44982162838826,False
67,2024-06-03 18:00:00,2024-06-03 19:00:00,136,98,6,2.49127649133228,84.51156805255052,91.23973618904677,False
68,2024-06-03 19:00:00,2024-06-03 20:00:00,63,198,5,6.903405367656391,87.35252700452993,110.01406150962892,False
69,2024-06-03 20:00:00,2024-06-03 21:00:00,139,240,6,1.9268014096874932,84.65567255757858,72.29219621742928,False
70,2024-06-03 21:00:00,2024-06-03 22:00:00,81,144,3,1.9737240665443463,45.47869012945941,88.50389706826253,False
71,2024-06-03 22:00:00,2024-06-03 23:00:00,163,97,4,6.297124856886754,26.1447596692479,92.06433823488244,False
72,2024-06-03 23:00:00,2024-06-04 00:00:00,261,201,1,19.59225951956802,42.681902185653925,48.45281316671544,False
73,2024-06-04 00:00:00,2024-06-04 01:00:00,231,124,5,3.5890723707978367,89.73020633379377,32.72475571790766,False
74,2024-06-04 01:00:00,2024-06-04 02:00:00,41,187,5,0.4415059264518297,18.92745806074242,28.580212778250363,False
75,2024-06-04 02:00:00,2024-06-04 03:00:00,28,259,1,15.290952017777826,53.76598602577732,33.91588054385682,False
76,2024-06-04 03:00:00,2024-06-04 04:00:00,135,148,6,16.15756824331051,27.156666880330143,36.59415665797951,False
77,2024-06-04 04:00:00,2024-06-04 05:00:00,201,252,5,6.991455989679075,60.22401463654432,28.83117963592649,False
78,2024-06-04 05:00:00,2024-06-04 06:00:00,33,147,3,9.347008877498268,86.99815958895537,105.9953767601071,False
79,2024-06-04 06:00:00,2024-06-04 07:00:00,48,148,4,13.03049628459099,88.6341970206496,92.0549001998063,False
80,2024-06-04 07:00:00,2024-06-04 08:00:00,62,199,1,1.0563725915209712,27.48509339979748,10.393093795990293,False
81,2024-06-04 08:00:00,2024-06-04 09:00:00,216,128,4,18.98800005866858,91.2309021031119,35.897335432910346,False
82,2024-06-04 09:00:00,2024-06-04 10:00:00,99,39,5,17.744939707231147,61.229430188022015,7.551245333484688,False
83,2024-06-04 10:00:00,2024-06-04 11:00:00,172,129,5,5.291783104500107,38.27073343652979,62.28899646427769,False
84,2024-06-04 11:00:00,2024-06-04 12:00:00,214,151,1,0.4045603517786564,72.27721358040398,59.76423013073663,False
85,2024-06-04 12:00:00,2024-06-04 13:00:00,35,99,3,18.67538253078171,50.75836385659096,100.60772135718764,False
86,2024-06-04 13:00:00,2024-06-04 14:00:00,227,252,2,10.070693689913655,40.90882106161418,40.39438257367068,False
87,2024-06-04 14:00:00,2024-06-04 15:00:00,101,144,1,10.833611223161244,71.98301460818269,98.88435954950216,False
88,2024-06-04 15:00:00,2024-06-04 16:00:00,131,112,2,13.710879011023009,28.628794670877355,116.31698302557965,False
89,2024-06-04 16:00:00,2024-06-04 17:00:00,257,60,6,12.355438171359284,36.37399025681436,15.166945687049356,False
90,2024-06-04 17:00:00,2024-06-04 18:00:00,5,2,2,18.883442930759067,46.27292522638578,96.05905153900778,False
91,2024-06-04 18:00:00,2024-06-04 19:00:00,218,254,3,18.89060678279083,29.09980651794818,72.84492817082815,False
92,2024-06-04 19:00:00,2024-06-04 20:00:00,255,140,6,17.357258777744576,43.494198244234624,60.20528620712464,False
93,2024-06-04 20:00:00,2024-06-04 21:00:00,207,37,2,12.764431589175622,59.28993739447601,53.36161454648364,False
94,2024-06-04 21:00:00,2024-06-04 22:00:00,15,160,6,16.038890964179753,75.39251678651348,95.2368503535956,False
95,2024-06-04 22:00:00,2024-06-04 23:00:00,42,9,2,13.575650013421336,77.88351104531431,78.52655605203788,False
96,2024-06-04 23:00:00,2024-06-05 00:00:00,179,233,3,11.510004129271472,83.16508342828585,97.58013676472662,False
97,2024-06-05 00:00:00,2024-06-05 01:00:00,63,99,2,2.657157029354813,75.70010740961331,108.86237174781202,False
98,2024-06-05 01:00:00,2024-06-05 02:00:00,231,147,2,16.24296311704646,69.69874557420636,75.98532689118858,False
99,2024-06-05 02:00:00,2024-06-05 03:00:00,241,208,2,16.430725567304712,27.563114772784644,117.75321338562344,False
100,2024-06-05 03:00:00,2024-06-05 04:00:00,52,131,1,12.556199435021298,43.02117482284236,74.9301026973168,False
