trip_id,pickup_datetime,dropoff_datetime,pickup_location_id,dropoff_location_id,passenger_count,trip_distance,fare_amount,total_amount
1,2024-06-01 00:00:00,2024-06-01 01:00:00,103,96,4,16.98852891900102,82.94055015827047,59.93721245122618
2,2024-06-01 01:00:00,2024-06-01 02:00:00,107,222,6,2.818764495696373,66.89105332648987,14.532501994735735
3,2024-06-01 02:00:00,2024-06-01 03:00:00,72,231,1,14.207328838511359,24.63501418829081,65.76256394917905
4,2024-06-01 03:00:00,2024-06-01 04:00:00,189,237,4,11.101117540467364,31.026307095507708,55.17862063475394
5,2024-06-01 04:00:00,2024-06-01 05:00:00,21,143,3,6.000551858591189,25.38596637229554,97.24256363807442
6,2024-06-01 05:00:00,2024-06-01 04:50:00,103,171,1,8.453639043280901,40.839612906657706,117.45857690674114
7,2024-06-01 06:00:00,2024-06-01 07:00:00,122,29,4,5.1985181775297145,8.701497569472195,68.94057944389722
8,2024-06-01 07:00:00,2024-06-01 08:00:00,215,36,6,12.269122846227042,63.734119012099825,42.10893465192212
9,2024-06-01 08:00:00,2024-06-01 09:00:00,88,13,4,1.723724189964783,36.97265041442902,9.991090079289869
10,2024-06-01 09:00:00,2024-06-01 10:00:00,100,160,6,0.20317876920233685,67.2936503611705,111.33398297571354
11,2024-06-01 10:00:00,2024-06-01 11:00:00,152,187,3,12.595098857477856,750.0,110.69830725704584
12,2024-06-01 11:00:00,2024-06-01 12:00:00,131,243,6,3.9660516748896404,69.75329855241503,34.09386931876273
13,2024-06-01 12:00:00,2024-06-01 13:00:00,150,86,1,1.5117242482985604,37.3593340991028,84.97227915726447
14,2024-06-01 13:00:00,2024-06-01 14:00:00,258,66,3,7.995998161556378,29.765980182410797,13.674972915323465
15,2024-06-01 14:00:00,2024-06-01 15:00:00,192,170,1,1.110293767683999,52.12355815787359,24.114774669564085
16,2024-06-01 15:00:00,2024-06-01 16:00:00,161,45,5,17.74368126411813,,29.93304725744649
17,2024-06-01 16:00:00,2024-06-01 17:00:00,22,62,2,0.6495737602867235,38.09197742305375,38.866803886534434
18,2024-06-01 17:00:00,2024-06-01 18:00:00,253,134,6,11.619411420600418,93.98157442629218,119.52060812837763
19,2024-06-01 18:00:00,2024-06-01 19:00:00,236,28,2,8.82563504805993,8.722701034186393,85.1463814243387
20,2024-06-01 19:00:00,2024-06-01 20:00:00,49,108,2,13.473320092374466,44.70487301297998,49.18321060861029
1,2024-06-01 00:00:00,2024-06-01 01:00:00,103,96,4,16.98852891900102,82.94055015827047,59.93721245122618
22,2024-06-01 21:00:00,2024-06-01 22:00:00,170,128,3,3.1853281728821092,57.057328908568294,110.25424929194723
23,2024-06-01 22:00:00,2024-06-01 23:00:00,188,231,5,19.63863367737957,45.22973951927126,115.25077685190232
24,2024-06-01 23:00:00,2024-06-02 00:00:00,190,190,1,16.79477669118033,59.00942695624604,11.65434824213635
25,2024-06-02 00:00:00,2024-06-02 01:00:00,175,225,4,17.22205190440234,59.71283464951804,50.37000683993493
26,2024-06-02 01:00:00,2024-06-02 02:00:00,51,121,1,5.0800020742656935,74.50653675346582,17.276947582626704
27,2024-06-02 02:00:00,2024-06-02 03:00:00,55,116,4,0.8728112151455216,17.13052429513423,43.60090745165077
28,2024-06-02 03:00:00,2024-06-02 04:00:00,244,233,1,6.134983741997133,28.751562675529943,24.513188947990034
29,2024-06-02 04:00:00,2024-06-02 05:00:00,131,259,6,10.787940301213442,60.15168117267144,79.38756159190324
30,2024-06-02 05:00:00,2024-06-02 06:00:00,135,198,5,6.600359711741213,87.3760776849236,49.6508641588353
31,2024-06-02 06:00:00,2024-06-02 07:00:00,21,137,4,16.574593175373014,58.37733575365849,31.380395756069213
32,2024-06-02 07:00:00,2024-06-02 08:00:00,167,165,3,5.503704024812863,27.666701680082316,35.582861370887485
33,2024-06-02 08:00:00,2024-06-02 09:00:00,89,225,1,19.30851142477632,69.58525409052335,46.43968594860585
34,2024-06-02 09:00:00,2024-06-02 10:00:00,14,234,1,9.199576716113198,75.29133224250057,34.89423422824021
35,2024-06-02 10:00:00,2024-06-02 11:00:00,242,172,4,16.85625919273843,27.63243447837805,57.12269738531557
36,2024-06-02 11:00:00,2024-06-02 12:00:00,53,152,3,3.968162676497973,40.88424418674801,8.716334377609805
37,2024-06-02 12:00:00,2024-06-02 13:00:00,92,160,3,8.285942710627902,55.76110998540352,37.172803324428756
38,2024-06-02 13:00:00,2024-06-02 14:00:00,35,96,6,14.020292994267155,52.17331311489238,52.28877290030142
39,2024-06-02 14:00:00,2024-06-02 15:00:00,206,233,6,2.853226539114247,42.01371819082433,74.31991643267934
40,2024-06-02 15:00:00,2024-06-02 16:00:00,81,180,6,2.7416339026350993,33.275341578384534,36.160128889239935
41,2024-06-02 16:00:00,2024-06-02 17:00:00,50,113,6,19.393783655571763,14.498564280377021,20.316289400731215
42,2024-06-02 17:00:00,2024-06-02 18:00:00,2,52,6,14.320442573181046,10.081103191000047,13.763043653903763
43,2024-06-02 18:00:00,2024-06-02 19:00:00,54,113,6,0.9172435836807281,96.06144220390384,113.1611601205691
44,2024-06-02 19:00:00,2024-06-02 20:00:00,106,101,5,8.036535938751411,85.47859868908102,52.913491639925105
45,2024-06-02 20:00:00,2024-06-02 21:00:00,260,113,3,8.727062677856766,38.71599309395846,71.83370143579502
46,2024-06-02 21:00:00,2024-06-02 22:00:00,191,81,6,14.906448595682395,95.89608408701335,110.70530346108936
47,2024-06-02 22:00:00,2024-06-02 23:00:00,218,187,3,5.092124494198557,69.29314092030882,14.516068304060205
48,2024-06-02 23:00:00,2024-06-03 00:00:00,44,113,3,3.768240119194264,50.83949021605103,105.81607088146616
49,2024-06-03 00:00:00,2024-06-03 01:00:00,162,2,2,1.7093720356822337,51.83743748832147,68.43260534256805
50,2024-06-03 01:00:00,2024-06-03 02:00:00,202,130,5,8.623458051308143,12.912019063549666,23.95594003075511
51,2024-06-03 02:00:00,2024-06-03 03:00:00,215,220,6,13.80114802523079,13.711893989555703,52.29433840731744
52,2024-06-03 03:00:00,2024-06-03 04:00:00,252,54,1,1.2580525506180278,62.2318879606063,94.42426262955094
53,2024-06-03 04:00:00,2024-06-03 05:00:00,190,224,4,18.31275317976696,57.60178997285107,60.24255941463078
54,2024-06-03 05:00:00,2024-06-03 06:00:00,213,225,1,8.902809371648978,25.20915002730175,118.307895826533
55,2024-06-03 06:00:00,2024-06-03 07:00:00,208,126,5,4.8717684472323235,94.88848157376057,48.324981542863185
56,2024-06-03 07:00:00,2024-06-03 08:00:00,237,130,4,1.9680784726177059,79.22312479476425,91.2015044972483
57,2024-06-03 08:00:00,2024-06-03 09:00:00,53,53,5,3.7390333424354156,15.779137191657561,50.1937866325688
58,2024-06-03 09:00:00,2024-06-03 10:00:00,217,172,3,18.698818547060224,93.43826504029279,100.35388538124916
59,2024-06-03 10:00:00,2024-06-03 11:00:00,252,218,4,12.801584817482672,97.55357981076897,70.44436895406098
60,2024-06-03 11:00:00,2024-06-03 12:00:00,188,160,3,10.382255522788675,99.61346799288127,12.303860402850155
61,2024-06-03 12:00:00,2024-06-03 13:00:00,41,198,1,13.176515437153318,10.307759694348254,9.234514778139008
62,2024-06-03 13:00:00,2024-06-03 14:00:00,157,247,1,8.769890683690031,75.01837789514585,20.39299366207282
63,2024-06-03 14:00:00,2024-06-03 15:00:00,15,203,4,14.627782399580187,56.861998165673945,6.572275955104688
64,2024-06-03 15:00:00,2024-06-03 16:00:00,65,184,4,1.0495509410638109,72.05399096847599,13.666291940533167
65,2024-06-03 16:00:00,2024-06-03 17:00:00,9,123,6,11.364140488832117,97.02193467754282,84.54715567442489
66,2024-06-03 17:00:00,2024-06-03 18:00:00,129,255,5,3.2570643080855715,70.36285096662871,66.44982162838826
